model_name,metric_name,score,Model,Index
deepseek,BLEU,0.08897490425809218,deepseek,129
deepseek,Cosine,0.8591257931700933,deepseek,129
deepseek,Levenshtein,0.749267475931352,deepseek,129
deepseek,BLEU,0.21628885901758096,deepseek,130
deepseek,Cosine,0.6632653422362845,deepseek,130
deepseek,Levenshtein,0.5752778713371506,deepseek,130
deepseek,BLEU,0.007732212784789376,deepseek,131
deepseek,Cosine,0.13856457722873386,deepseek,131
deepseek,Levenshtein,0.383262583383869,deepseek,131
deepseek,BLEU,0.5841497044086872,deepseek,132
deepseek,Cosine,0.8134824810749165,deepseek,132
deepseek,Levenshtein,0.6994748103481813,deepseek,132
deepseek,BLEU,0.6783276813479621,deepseek,133
deepseek,Cosine,0.7617901121662326,deepseek,133
deepseek,Levenshtein,0.4594001463057791,deepseek,133
deepseek,BLEU,0.28253949262811967,deepseek,134
deepseek,Cosine,0.7528773267464597,deepseek,134
deepseek,Levenshtein,0.4783524455885795,deepseek,134
deepseek,BLEU,0.18941443974650896,deepseek,135
deepseek,Cosine,0.7004787120541878,deepseek,135
deepseek,Levenshtein,0.5187137585661571,deepseek,135
deepseek,BLEU,0.23526514243761124,deepseek,136
deepseek,Cosine,0.6502499439106261,deepseek,136
deepseek,Levenshtein,0.6706281833616299,deepseek,136
deepseek,BLEU,0.11278334387001292,deepseek,137
deepseek,Cosine,0.5422243638830261,deepseek,137
deepseek,Levenshtein,0.4857608832016058,deepseek,137
deepseek,BLEU,0.3270326019236411,deepseek,138
deepseek,Cosine,0.695774603897123,deepseek,138
deepseek,Levenshtein,0.6059082338152106,deepseek,138
deepseek,BLEU,0.46643322471366894,deepseek,139
deepseek,Cosine,0.7230768130492703,deepseek,139
deepseek,Levenshtein,0.6938291139240507,deepseek,139
deepseek,BLEU,0.22305254771333952,deepseek,140
deepseek,Cosine,0.7437983873395848,deepseek,140
deepseek,Levenshtein,0.6047350620067644,deepseek,140
deepseek,BLEU,0.0,deepseek,141
deepseek,Cosine,0.2005173062663505,deepseek,141
deepseek,Levenshtein,0.2652119177507344,deepseek,141
deepseek,BLEU,0.2905197371245422,deepseek,142
deepseek,Cosine,0.4346522208441826,deepseek,142
deepseek,Levenshtein,0.3798764342453663,deepseek,142
deepseek,BLEU,0.05988230464038781,deepseek,143
deepseek,Cosine,0.4207286341377604,deepseek,143
deepseek,Levenshtein,0.30078125,deepseek,143
deepseek,BLEU,0.4790109973008119,deepseek,144
deepseek,Cosine,0.7001207311028984,deepseek,144
deepseek,Levenshtein,0.7164757709251102,deepseek,144
deepseek,BLEU,0.3578026690944302,deepseek,145
deepseek,Cosine,0.6818670014995106,deepseek,145
deepseek,Levenshtein,0.6284916201117319,deepseek,145
deepseek,BLEU,0.3526303957617856,deepseek,146
deepseek,Cosine,0.5828198494762222,deepseek,146
deepseek,Levenshtein,0.5109689213893966,deepseek,146
deepseek,BLEU,0.44831329935368674,deepseek,147
deepseek,Cosine,0.6233593050753141,deepseek,147
deepseek,Levenshtein,0.6472491909385114,deepseek,147
deepseek,BLEU,0.37421798098990355,deepseek,148
deepseek,Cosine,0.6563358400973507,deepseek,148
deepseek,Levenshtein,0.40431505837150883,deepseek,148
deepseek,BLEU,0.39556878634536696,deepseek,149
deepseek,Cosine,0.6985291548355104,deepseek,149
deepseek,Levenshtein,0.6177991137370753,deepseek,149
deepseek,BLEU,0.02662238361990284,deepseek,150
deepseek,Cosine,0.7347564968304473,deepseek,150
deepseek,Levenshtein,0.6307968229567,deepseek,150
deepseek,BLEU,0.3097566004379732,deepseek,151
deepseek,Cosine,0.6302204487210915,deepseek,151
deepseek,Levenshtein,0.6218070911170416,deepseek,151
deepseek,BLEU,0.25929310059329713,deepseek,152
deepseek,Cosine,0.450106941518085,deepseek,152
deepseek,Levenshtein,0.38371681415929204,deepseek,152
deepseek,BLEU,0.0,deepseek,153
deepseek,Cosine,0.1790571786830783,deepseek,153
deepseek,Levenshtein,0.23903050564145423,deepseek,153
deepseek,BLEU,0.34656016082956825,deepseek,154
deepseek,Cosine,0.6995968417701556,deepseek,154
deepseek,Levenshtein,0.6818640306637078,deepseek,154
deepseek,BLEU,0.28171266780574733,deepseek,155
deepseek,Cosine,0.6311381826064497,deepseek,155
deepseek,Levenshtein,0.6004702477844095,deepseek,155
deepseek,BLEU,0.0,deepseek,156
deepseek,Cosine,0.14075392310870202,deepseek,156
deepseek,Levenshtein,0.1716814159292035,deepseek,156
deepseek,BLEU,0.019802100369959337,deepseek,157
deepseek,Cosine,0.33479003253447126,deepseek,157
